date;run;error4mod;1;2;3;4;5;6;7
14.04.2000;9547;0;0;0;0;0;0;0;0
15.04.2000;9585;0;0;0;0;0;0;0;0
16.04.2000;9627;0;0;0;0;0;0;0;0
17.04.2000;9641;0;0;0;0;0;0;0;0
18.04.2000;9668;0;0;0;0;0;0;0;0
19.04.2000;9710;0;0;0;0;0;0;0;0
20.04.2000;9725;0;0;0;0;0;0;0;0
21.04.2000;9739;0;0;0;0;0;0;0;0
22.04.2000;9758;0;0;0;0;0;0;0;0
23.04.2000;9782;0;0;0;0;0;0;0;0
24.04.2000;9822;0;0;0;0;0;0;0;0
25.04.2000;9847;0;0;0;0;0;0;0;0
26.04.2000;9888;0;0;0;0;0;0;0;0
27.04.2000;9906;0;0;0;0;0;0;0;0
28.04.2000;9919;0;0;0;0;0;0;0;0
29.04.2000;9924;0;0;0;0;0;0;0;0
30.04.2000;9962;0;0;0;0;0;0;0;0
01.05.2000;9986;0;0;0;0;0;0;0;0
02.05.2000;10024;0;0;0;0;0;0;0;0
03.05.2000;10050;0;0;0;0;0;0;0;0
04.05.2000;10099;0;0;0;0;0;0;0;0
05.05.2000;10109;0;0;0;0;0;0;0;0
06.05.2000;10150;0;0;0;0;0;0;0;0
07.05.2000;10169;0;0;0;0;0;0;0;0
08.05.2000;10188;1;1;0;0;0;0;0;0
09.05.2000;10188;1;1;0;0;0;0;0;0
10.05.2000;10188;1;1;0;0;0;0;0;0
11.05.2000;10188;1;1;0;0;0;0;0;0
12.05.2000;10188;0;0;0;0;0;0;0;0
13.05.2000;10218;0;0;0;0;0;0;0;0
14.05.2000;10228;0;0;0;0;0;0;0;0
15.05.2000;10257;0;0;0;0;0;0;0;0
16.05.2000;10285;0;0;0;0;0;0;0;0
17.05.2000;10333;0;0;0;0;0;0;0;0
18.05.2000;10368;0;0;0;0;0;0;0;0
19.05.2000;10389;0;0;0;0;0;0;0;0
20.05.2000;10434;0;0;0;0;0;0;0;0
21.05.2000;10474;0;0;0;0;0;0;0;0
22.05.2000;10487;0;0;0;0;0;0;0;0
23.05.2000;10512;0;0;0;0;0;0;0;0
24.05.2000;10525;0;0;0;0;0;0;0;0
25.05.2000;10552;0;0;0;0;0;0;0;0
26.05.2000;10572;0;0;0;0;0;0;0;0
27.05.2000;10619;0;0;0;0;0;0;0;0
28.05.2000;10637;0;0;0;0;0;0;0;0
29.05.2000;10668;0;0;0;0;0;0;0;0
30.05.2000;10718;0;0;0;0;0;0;0;0
31.05.2000;10754;0;0;0;0;0;0;0;0
01.06.2000;10758;0;0;0;0;0;0;0;0
02.06.2000;10770;0;0;0;0;0;0;0;0
03.06.2000;10801;0;0;0;0;0;0;0;0
04.06.2000;10829;0;0;0;0;0;0;0;0
05.06.2000;10847;0;0;0;0;0;0;0;0
06.06.2000;10857;0;0;0;0;0;0;0;0
07.06.2000;10874;0;0;0;0;0;0;0;0
08.06.2000;10888;1;1;0;0;0;0;0;0
09.06.2000;10888;1;1;0;0;0;0;0;0
10.06.2000;10888;1;1;0;0;0;0;0;0
11.06.2000;10888;0;0;0;0;0;0;0;0
12.06.2000;10913;0;0;0;0;0;0;0;0
13.06.2000;10925;0;0;0;0;0;0;0;0
14.06.2000;10971;0;0;0;0;0;0;0;0
15.06.2000;11011;0;0;0;0;0;0;0;0
16.06.2000;11047;0;0;0;0;0;0;0;0
17.06.2000;11091;0;0;0;0;0;0;0;0
18.06.2000;11117;0;0;0;0;0;0;0;0
19.06.2000;11149;0;0;0;0;0;0;0;0
20.06.2000;11193;0;0;0;0;0;0;0;0
21.06.2000;11220;0;0;0;0;0;0;0;0
22.06.2000;11221;0;0;0;0;0;0;0;0
23.06.2000;11271;0;0;0;0;0;0;0;0
24.06.2000;11316;0;0;0;0;0;0;0;0
25.06.2000;11344;0;0;0;0;0;0;0;0
26.06.2000;11374;0;0;0;0;0;0;0;0
27.06.2000;11424;0;0;0;0;0;0;0;0
28.06.2000;11436;0;0;0;0;0;0;0;0
29.06.2000;11473;0;0;0;0;0;0;0;0
30.06.2000;11516;0;0;0;0;0;0;0;0
01.07.2000;11523;0;0;0;0;0;0;0;0
02.07.2000;11539;0;0;0;0;0;0;0;0
03.07.2000;11561;0;0;0;0;0;0;0;0
04.07.2000;11562;0;0;0;0;0;0;0;0
05.07.2000;11563;0;0;0;0;0;0;0;0
06.07.2000;11610;0;0;0;0;0;0;0;0
07.07.2000;11631;1;1;0;0;0;0;0;0
08.07.2000;11631;1;1;0;0;0;0;0;0
09.07.2000;11631;1;1;0;0;0;0;0;0
10.07.2000;11631;1;1;0;0;0;0;0;0
11.07.2000;11631;0;0;0;0;0;0;0;0
12.07.2000;11658;0;0;0;0;0;0;0;0
13.07.2000;11671;0;0;0;0;0;0;0;0
14.07.2000;11716;0;0;0;0;0;0;0;0
15.07.2000;11739;0;0;0;0;0;0;0;0
16.07.2000;11751;0;0;0;0;0;0;0;0
17.07.2000;11757;0;0;0;0;0;0;0;0
18.07.2000;11758;0;0;0;0;0;0;0;0
19.07.2000;11767;0;0;0;0;0;0;0;0
20.07.2000;11806;0;0;0;0;0;0;0;0
21.07.2000;11846;0;0;0;0;0;0;0;0
22.07.2000;11866;0;0;0;0;0;0;0;0
23.07.2000;11893;0;0;0;0;0;0;0;0
24.07.2000;11900;0;0;0;0;0;0;0;0
25.07.2000;11943;0;0;0;0;0;0;0;0
26.07.2000;11961;0;0;0;0;0;0;0;0
27.07.2000;11976;0;0;0;0;0;0;0;0
28.07.2000;12011;0;0;0;0;0;0;0;0
29.07.2000;12017;0;0;0;0;0;0;0;0
30.07.2000;12024;0;0;0;0;0;0;0;0
31.07.2000;12057;0;0;0;0;0;0;0;0
01.08.2000;12073;0;0;0;0;0;0;0;0
02.08.2000;12099;0;0;0;0;0;0;0;0
03.08.2000;12139;0;0;0;0;0;0;0;0
04.08.2000;12181;0;0;0;0;0;0;0;0
05.08.2000;12187;0;0;0;0;0;0;0;0
06.08.2000;12225;2;0;1;0;0;0;0;0
07.08.2000;12225;2;0;1;0;0;0;0;0
08.08.2000;12225;2;0;1;0;0;0;0;0
09.08.2000;12225;2;0;1;0;0;0;0;0
10.08.2000;12225;2;0;1;0;0;0;0;0
11.08.2000;12225;2;0;1;0;0;0;0;0
12.08.2000;12225;0;0;0;0;0;0;0;0
13.08.2000;12249;0;0;0;0;0;0;0;0
14.08.2000;12283;0;0;0;0;0;0;0;0
15.08.2000;12301;0;0;0;0;0;0;0;0
16.08.2000;12317;0;0;0;0;0;0;0;0
17.08.2000;12346;0;0;0;0;0;0;0;0
18.08.2000;12371;0;0;0;0;0;0;0;0
19.08.2000;12402;0;0;0;0;0;0;0;0
20.08.2000;12419;0;0;0;0;0;0;0;0
21.08.2000;12427;0;0;0;0;0;0;0;0
22.08.2000;12434;0;0;0;0;0;0;0;0
23.08.2000;12443;0;0;0;0;0;0;0;0
24.08.2000;12450;0;0;0;0;0;0;0;0
25.08.2000;12474;0;0;0;0;0;0;0;0
26.08.2000;12488;0;0;0;0;0;0;0;0
27.08.2000;12516;0;0;0;0;0;0;0;0
28.08.2000;12532;0;0;0;0;0;0;0;0
29.08.2000;12550;0;0;0;0;0;0;0;0
30.08.2000;12559;0;0;0;0;0;0;0;0
31.08.2000;12592;0;0;0;0;0;0;0;0
01.09.2000;12620;0;0;0;0;0;0;0;0
02.09.2000;12641;0;0;0;0;0;0;0;0
03.09.2000;12645;0;0;0;0;0;0;0;0
04.09.2000;12651;0;0;0;0;0;0;0;0
05.09.2000;12656;0;0;0;0;0;0;0;0
06.09.2000;12684;0;0;0;0;0;0;0;0
07.09.2000;12702;0;0;0;0;0;0;0;0
08.09.2000;12734;0;0;0;0;0;0;0;0
09.09.2000;12742;0;0;0;0;0;0;0;0
10.09.2000;12751;0;0;0;0;0;0;0;0
11.09.2000;12773;0;0;0;0;0;0;0;0
12.09.2000;12802;0;0;0;0;0;0;0;0
13.09.2000;12805;1;1;0;0;0;0;0;0
14.09.2000;12805;1;1;0;0;0;0;0;0
15.09.2000;12805;1;1;0;0;0;0;0;0
16.09.2000;12805;1;1;0;0;0;0;0;0
17.09.2000;12805;0;0;0;0;0;0;0;0
18.09.2000;12845;0;0;0;0;0;0;0;0
19.09.2000;12887;0;0;0;0;0;0;0;0
20.09.2000;12931;0;0;0;0;0;0;0;0
21.09.2000;12973;0;0;0;0;0;0;0;0
22.09.2000;12992;0;0;0;0;0;0;0;0
23.09.2000;13034;0;0;0;0;0;0;0;0
24.09.2000;13080;0;0;0;0;0;0;0;0
25.09.2000;13082;0;0;0;0;0;0;0;0
26.09.2000;13097;0;0;0;0;0;0;0;0
27.09.2000;13124;0;0;0;0;0;0;0;0
28.09.2000;13171;0;0;0;0;0;0;0;0
29.09.2000;13221;0;0;0;0;0;0;0;0
30.09.2000;13240;0;0;0;0;0;0;0;0
01.10.2000;13247;0;0;0;0;0;0;0;0
02.10.2000;13255;0;0;0;0;0;0;0;0
03.10.2000;13301;0;0;0;0;0;0;0;0
04.10.2000;13331;0;0;0;0;0;0;0;0
05.10.2000;13336;0;0;0;0;0;0;0;0
06.10.2000;13350;0;0;0;0;0;0;0;0
07.10.2000;13380;0;0;0;0;0;0;0;0
08.10.2000;13397;0;0;0;0;0;0;0;0
09.10.2000;13420;0;0;0;0;0;0;0;0
10.10.2000;13435;0;0;0;0;0;0;0;0
11.10.2000;13480;0;0;0;0;0;0;0;0
12.10.2000;13518;0;0;0;0;0;0;0;0
13.10.2000;13531;4;0;0;0;1;0;0;0
14.10.2000;13531;4;0;0;0;1;0;0;0
15.10.2000;13531;4;0;0;0;1;0;0;0
16.10.2000;13531;4;0;0;0;1;0;0;0
17.10.2000;13531;4;0;0;0;1;0;0;0
18.10.2000;13531;4;0;0;0;1;0;0;0
19.10.2000;13531;4;0;0;0;1;0;0;0
20.10.2000;13531;4;0;0;0;1;0;0;0
21.10.2000;13531;4;0;0;0;1;0;0;0
22.10.2000;13531;4;0;0;0;1;0;0;0
23.10.2000;13531;4;0;0;0;1;0;0;0
24.10.2000;13531;4;0;0;0;1;0;0;0
25.10.2000;13531;4;0;0;0;1;0;0;0
26.10.2000;13531;4;0;0;0;1;0;0;0
27.10.2000;13531;4;0;0;0;1;0;0;0
28.10.2000;13531;4;0;0;0;1;0;0;0
29.10.2000;13531;4;0;0;0;1;0;0;0
30.10.2000;13531;4;0;0;0;1;0;0;0
31.10.2000;13531;4;0;0;0;1;0;0;0
01.11.2000;13531;4;0;0;0;1;0;0;0
02.11.2000;13531;4;0;0;0;1;0;0;0
03.11.2000;13531;0;0;0;0;0;0;0;0
04.11.2000;13549;0;0;0;0;0;0;0;0
05.11.2000;13577;0;0;0;0;0;0;0;0
06.11.2000;13620;0;0;0;0;0;0;0;0
07.11.2000;13643;0;0;0;0;0;0;0;0
08.11.2000;13663;0;0;0;0;0;0;0;0
09.11.2000;13691;0;0;0;0;0;0;0;0
10.11.2000;13736;0;0;0;0;0;0;0;0
11.11.2000;13754;0;0;0;0;0;0;0;0
12.11.2000;13787;0;0;0;0;0;0;0;0
13.11.2000;13815;0;0;0;0;0;0;0;0
14.11.2000;13839;0;0;0;0;0;0;0;0
15.11.2000;13851;0;0;0;0;0;0;0;0
16.11.2000;13884;0;0;0;0;0;0;0;0
17.11.2000;13923;0;0;0;0;0;0;0;0
18.11.2000;13953;0;0;0;0;0;0;0;0
19.11.2000;14002;0;0;0;0;0;0;0;0
20.11.2000;14040;0;0;0;0;0;0;0;0
21.11.2000;14058;0;0;0;0;0;0;0;0
22.11.2000;14091;0;0;0;0;0;0;0;0
23.11.2000;14095;0;0;0;0;0;0;0;0
24.11.2000;14134;0;0;0;0;0;0;0;0
25.11.2000;14181;0;0;0;0;0;0;0;0
26.11.2000;14205;0;0;0;0;0;0;0;0
27.11.2000;14219;0;0;0;0;0;0;0;0
28.11.2000;14253;0;0;0;0;0;0;0;0
29.11.2000;14261;0;0;0;0;0;0;0;0
30.11.2000;14277;0;0;0;0;0;0;0;0
01.12.2000;14322;0;0;0;0;0;0;0;0
02.12.2000;14325;0;0;0;0;0;0;0;0
03.12.2000;14356;0;0;0;0;0;0;0;0
04.12.2000;14377;0;0;0;0;0;0;0;0
05.12.2000;14423;0;0;0;0;0;0;0;0
06.12.2000;14454;0;0;0;0;0;0;0;0
07.12.2000;14472;1;1;0;0;0;0;0;0
08.12.2000;14472;1;1;0;0;0;0;0;0
09.12.2000;14472;1;1;0;0;0;0;0;0
10.12.2000;14472;0;0;0;0;0;0;0;0
11.12.2000;14490;0;0;0;0;0;0;0;0
12.12.2000;14494;0;0;0;0;0;0;0;0
13.12.2000;14538;0;0;0;0;0;0;0;0
14.12.2000;14572;0;0;0;0;0;0;0;0
15.12.2000;14599;0;0;0;0;0;0;0;0
16.12.2000;14619;0;0;0;0;0;0;0;0
17.12.2000;14665;0;0;0;0;0;0;0;0
18.12.2000;14674;0;0;0;0;0;0;0;0
19.12.2000;14712;0;0;0;0;0;0;0;0
20.12.2000;14726;0;0;0;0;0;0;0;0
21.12.2000;14731;0;0;0;0;0;0;0;0
22.12.2000;14735;0;0;0;0;0;0;0;0
23.12.2000;14745;0;0;0;0;0;0;0;0
24.12.2000;14784;0;0;0;0;0;0;0;0
25.12.2000;14811;0;0;0;0;0;0;0;0
26.12.2000;14840;0;0;0;0;0;0;0;0
27.12.2000;14887;0;0;0;0;0;0;0;0
28.12.2000;14930;0;0;0;0;0;0;0;0
29.12.2000;14942;1;1;0;0;0;0;0;0
30.12.2000;14942;1;1;0;0;0;0;0;0
31.12.2000;14942;1;1;0;0;0;0;0;0
01.01.2001;14942;0;0;0;0;0;0;0;0
02.01.2001;14954;0;0;0;0;0;0;0;0
03.01.2001;14963;0;0;0;0;0;0;0;0
04.01.2001;14988;0;0;0;0;0;0;0;0
05.01.2001;15032;0;0;0;0;0;0;0;0
06.01.2001;15053;0;0;0;0;0;0;0;0
07.01.2001;15063;0;0;0;0;0;0;0;0
08.01.2001;15077;0;0;0;0;0;0;0;0
09.01.2001;15114;7;0;0;0;0;0;0;1
10.01.2001;15114;7;0;0;0;0;0;0;1
11.01.2001;15114;7;0;0;0;0;0;0;1
12.01.2001;15114;7;0;0;0;0;0;0;1
13.01.2001;15114;7;0;0;0;0;0;0;1
14.01.2001;15114;7;0;0;0;0;0;0;1
15.01.2001;15114;7;0;0;0;0;0;0;1
16.01.2001;15114;7;0;0;0;0;0;0;1
17.01.2001;15114;7;0;0;0;0;0;0;1
18.01.2001;15114;7;0;0;0;0;0;0;1
19.01.2001;15114;7;0;0;0;0;0;0;1
20.01.2001;15114;7;0;0;0;0;0;0;1
21.01.2001;15114;7;0;0;0;0;0;0;1
22.01.2001;15114;7;0;0;0;0;0;0;1
23.01.2001;15114;7;0;0;0;0;0;0;1
24.01.2001;15114;7;0;0;0;0;0;0;1
25.01.2001;15114;7;0;0;0;0;0;0;1
26.01.2001;15114;7;0;0;0;0;0;0;1
27.01.2001;15114;7;0;0;0;0;0;0;1
28.01.2001;15114;7;0;0;0;0;0;0;1
29.01.2001;15114;7;0;0;0;0;0;0;1
30.01.2001;15114;7;0;0;0;0;0;0;1
31.01.2001;15114;7;0;0;0;0;0;0;1
01.02.2001;15114;7;0;0;0;0;0;0;1
02.02.2001;15114;7;0;0;0;0;0;0;1
03.02.2001;15114;7;0;0;0;0;0;0;1
04.02.2001;15114;7;0;0;0;0;0;0;1
05.02.2001;15114;7;0;0;0;0;0;0;1
06.02.2001;15114;7;0;0;0;0;0;0;1
07.02.2001;15114;7;0;0;0;0;0;0;1
08.02.2001;15114;7;0;0;0;0;0;0;1
09.02.2001;15114;7;0;0;0;0;0;0;1
10.02.2001;15114;7;0;0;0;0;0;0;1
11.02.2001;15114;7;0;0;0;0;0;0;1
12.02.2001;15114;7;0;0;0;0;0;0;1
13.02.2001;15114;7;0;0;0;0;0;0;1
14.02.2001;15114;7;0;0;0;0;0;0;1
15.02.2001;15114;7;0;0;0;0;0;0;1
16.02.2001;15114;7;0;0;0;0;0;0;1
17.02.2001;15114;7;0;0;0;0;0;0;1
18.02.2001;15114;7;0;0;0;0;0;0;1
19.02.2001;15114;7;0;0;0;0;0;0;1
20.02.2001;15114;7;0;0;0;0;0;0;1
21.02.2001;15114;7;0;0;0;0;0;0;1
22.02.2001;15114;7;0;0;0;0;0;0;1
23.02.2001;15114;7;0;0;0;0;0;0;1
24.02.2001;15114;7;0;0;0;0;0;0;1
25.02.2001;15114;7;0;0;0;0;0;0;1
26.02.2001;15114;7;0;0;0;0;0;0;1
27.02.2001;15114;7;0;0;0;0;0;0;1
28.02.2001;15114;7;0;0;0;0;0;0;1
01.03.2001;15114;7;0;0;0;0;0;0;1
02.03.2001;15114;7;0;0;0;0;0;0;1
03.03.2001;15114;7;0;0;0;0;0;0;1
04.03.2001;15114;7;0;0;0;0;0;0;1
05.03.2001;15114;7;0;0;0;0;0;0;1
06.03.2001;15114;7;0;0;0;0;0;0;1
07.03.2001;15114;7;0;0;0;0;0;0;1
08.03.2001;15114;7;0;0;0;0;0;0;1
09.03.2001;15114;7;0;0;0;0;0;0;1
10.03.2001;15114;7;0;0;0;0;0;0;1
11.03.2001;15114;7;0;0;0;0;0;0;1
12.03.2001;15114;7;0;0;0;0;0;0;1
13.03.2001;15114;7;0;0;0;0;0;0;1
14.03.2001;15114;7;0;0;0;0;0;0;1
15.03.2001;15114;7;0;0;0;0;0;0;1
16.03.2001;15114;7;0;0;0;0;0;0;1
17.03.2001;15114;7;0;0;0;0;0;0;1
18.03.2001;15114;7;0;0;0;0;0;0;1
19.03.2001;15114;7;0;0;0;0;0;0;1
20.03.2001;15114;7;0;0;0;0;0;0;1
21.03.2001;15114;7;0;0;0;0;0;0;1
22.03.2001;15114;7;0;0;0;0;0;0;1
23.03.2001;15114;7;0;0;0;0;0;0;1
24.03.2001;15114;7;0;0;0;0;0;0;1
25.03.2001;15114;7;0;0;0;0;0;0;1
26.03.2001;15114;7;0;0;0;0;0;0;1
27.03.2001;15114;7;0;0;0;0;0;0;1
28.03.2001;15114;7;0;0;0;0;0;0;1
29.03.2001;15114;7;0;0;0;0;0;0;1
30.03.2001;15114;7;0;0;0;0;0;0;1
31.03.2001;15114;7;0;0;0;0;0;0;1
01.04.2001;15114;7;0;0;0;0;0;0;1
02.04.2001;15114;7;0;0;0;0;0;0;1
03.04.2001;15114;0;0;0;0;0;0;0;0
04.04.2001;15133;0;0;0;0;0;0;0;0
05.04.2001;15178;0;0;0;0;0;0;0;0
06.04.2001;15187;0;0;0;0;0;0;0;0
07.04.2001;15208;0;0;0;0;0;0;0;0
08.04.2001;15238;0;0;0;0;0;0;0;0
09.04.2001;15240;0;0;0;0;0;0;0;0
10.04.2001;15265;0;0;0;0;0;0;0;0
11.04.2001;15285;0;0;0;0;0;0;0;0
12.04.2001;15309;0;0;0;0;0;0;0;0
13.04.2001;15339;0;0;0;0;0;0;0;0
14.04.2001;15366;0;0;0;0;0;0;0;0
15.04.2001;15404;0;0;0;0;0;0;0;0
16.04.2001;15424;0;0;0;0;0;0;0;0
17.04.2001;15454;0;0;0;0;0;0;0;0
18.04.2001;15473;0;0;0;0;0;0;0;0
19.04.2001;15496;0;0;0;0;0;0;0;0
20.04.2001;15527;0;0;0;0;0;0;0;0
21.04.2001;15560;0;0;0;0;0;0;0;0
22.04.2001;15569;0;0;0;0;0;0;0;0
23.04.2001;15578;0;0;0;0;0;0;0;0
24.04.2001;15583;0;0;0;0;0;0;0;0
25.04.2001;15625;0;0;0;0;0;0;0;0
26.04.2001;15662;0;0;0;0;0;0;0;0
27.04.2001;15665;0;0;0;0;0;0;0;0
28.04.2001;15683;0;0;0;0;0;0;0;0
29.04.2001;15701;0;0;0;0;0;0;0;0
30.04.2001;15706;0;0;0;0;0;0;0;0
01.05.2001;15748;0;0;0;0;0;0;0;0
02.05.2001;15751;0;0;0;0;0;0;0;0
03.05.2001;15776;0;0;0;0;0;0;0;0
04.05.2001;15778;0;0;0;0;0;0;0;0
05.05.2001;15825;0;0;0;0;0;0;0;0
06.05.2001;15827;0;0;0;0;0;0;0;0
07.05.2001;15873;0;0;0;0;0;0;0;0
08.05.2001;15892;0;0;0;0;0;0;0;0
09.05.2001;15925;0;0;0;0;0;0;0;0
10.05.2001;15954;0;0;0;0;0;0;0;0
11.05.2001;16000;0;0;0;0;0;0;0;0
12.05.2001;16020;0;0;0;0;0;0;0;0
13.05.2001;16041;0;0;0;0;0;0;0;0
14.05.2001;16051;0;0;0;0;0;0;0;0
15.05.2001;16099;0;0;0;0;0;0;0;0
16.05.2001;16134;0;0;0;0;0;0;0;0
17.05.2001;16143;0;0;0;0;0;0;0;0
18.05.2001;16149;0;0;0;0;0;0;0;0
19.05.2001;16194;0;0;0;0;0;0;0;0
20.05.2001;16209;0;0;0;0;0;0;0;0
21.05.2001;16247;0;0;0;0;0;0;0;0
22.05.2001;16285;0;0;0;0;0;0;0;0
23.05.2001;16319;0;0;0;0;0;0;0;0
24.05.2001;16365;0;0;0;0;0;0;0;0
25.05.2001;16403;1;1;0;0;0;0;0;0
26.05.2001;16403;1;1;0;0;0;0;0;0
27.05.2001;16403;1;1;0;0;0;0;0;0
28.05.2001;16403;1;1;0;0;0;0;0;0
29.05.2001;16403;0;0;0;0;0;0;0;0
30.05.2001;16411;0;0;0;0;0;0;0;0
31.05.2001;16421;0;0;0;0;0;0;0;0
01.06.2001;16470;0;0;0;0;0;0;0;0
02.06.2001;16471;0;0;0;0;0;0;0;0
03.06.2001;16500;0;0;0;0;0;0;0;0
04.06.2001;16509;0;0;0;0;0;0;0;0
05.06.2001;16517;0;0;0;0;0;0;0;0
06.06.2001;16553;0;0;0;0;0;0;0;0
07.06.2001;16555;0;0;0;0;0;0;0;0
08.06.2001;16598;0;0;0;0;0;0;0;0
09.06.2001;16635;0;0;0;0;0;0;0;0
10.06.2001;16680;0;0;0;0;0;0;0;0
11.06.2001;16727;0;0;0;0;0;0;0;0
12.06.2001;16752;0;0;0;0;0;0;0;0
13.06.2001;16760;0;0;0;0;0;0;0;0
14.06.2001;16805;0;0;0;0;0;0;0;0
15.06.2001;16850;0;0;0;0;0;0;0;0
16.06.2001;16884;0;0;0;0;0;0;0;0
17.06.2001;16908;0;0;0;0;0;0;0;0
18.06.2001;16951;0;0;0;0;0;0;0;0
19.06.2001;16986;0;0;0;0;0;0;0;0
20.06.2001;17015;0;0;0;0;0;0;0;0
21.06.2001;17059;0;0;0;0;0;0;0;0
22.06.2001;17089;0;0;0;0;0;0;0;0
23.06.2001;17133;0;0;0;0;0;0;0;0
24.06.2001;17151;0;0;0;0;0;0;0;0
25.06.2001;17159;0;0;0;0;0;0;0;0
26.06.2001;17192;1;1;0;0;0;0;0;0
27.06.2001;17192;1;1;0;0;0;0;0;0
28.06.2001;17192;1;1;0;0;0;0;0;0
29.06.2001;17192;0;0;0;0;0;0;0;0
30.06.2001;17198;0;0;0;0;0;0;0;0
01.07.2001;17234;0;0;0;0;0;0;0;0
02.07.2001;17259;0;0;0;0;0;0;0;0
03.07.2001;17296;0;0;0;0;0;0;0;0
04.07.2001;17334;0;0;0;0;0;0;0;0
05.07.2001;17382;0;0;0;0;0;0;0;0
06.07.2001;17404;0;0;0;0;0;0;0;0
07.07.2001;17426;0;0;0;0;0;0;0;0
08.07.2001;17427;0;0;0;0;0;0;0;0
09.07.2001;17447;0;0;0;0;0;0;0;0
10.07.2001;17478;0;0;0;0;0;0;0;0
11.07.2001;17489;0;0;0;0;0;0;0;0
12.07.2001;17525;0;0;0;0;0;0;0;0
13.07.2001;17538;0;0;0;0;0;0;0;0
14.07.2001;17578;0;0;0;0;0;0;0;0
15.07.2001;17619;0;0;0;0;0;0;0;0
16.07.2001;17663;0;0;0;0;0;0;0;0
17.07.2001;17669;0;0;0;0;0;0;0;0
18.07.2001;17694;0;0;0;0;0;0;0;0
19.07.2001;17696;0;0;0;0;0;0;0;0
20.07.2001;17744;0;0;0;0;0;0;0;0
21.07.2001;17770;0;0;0;0;0;0;0;0
22.07.2001;17781;0;0;0;0;0;0;0;0
23.07.2001;17809;0;0;0;0;0;0;0;0
24.07.2001;17819;0;0;0;0;0;0;0;0
25.07.2001;17849;1;1;0;0;0;0;0;0
26.07.2001;17849;1;1;0;0;0;0;0;0
27.07.2001;17849;1;1;0;0;0;0;0;0
28.07.2001;17849;0;0;0;0;0;0;0;0
29.07.2001;17882;0;0;0;0;0;0;0;0
30.07.2001;17894;0;0;0;0;0;0;0;0
31.07.2001;17913;0;0;0;0;0;0;0;0
01.08.2001;17925;0;0;0;0;0;0;0;0
02.08.2001;17961;0;0;0;0;0;0;0;0
